name,hebrew,population 2019,established,council
Adora,אדורה,462,1984,Har Hebron
Alei Zahav,עלי זהב,"3,399",1982,Shomron
Alfei Menashe,אלפי מנשה,"7,952",1983,Shomron
Alon Shvut,אלון שבות,"3,098",1970,Gush Etzion
Almog,אלמוג,254,1977,Megilot
Almon,עלמון,"1,420",1982,Binyamin
Argaman,ארגמן,132,1968,Bik'at HaYarden
Ariel,אריאל,"20,540",1978,Shomron
Asfar,מיצד,932,1983,Gush Etzion
Ateret,עטרת,900,1981,Mateh Binyamin
Avnat,אבנת,237,1983,Megilot
Avnei Hefetz,אבני חפץ,"1,923",1990,Shomron
Barkan,ברקן,"1,895",1981,Shomron
Bat Ayin,בת עין,"1,568",1989,Gush Etzion
Beit Aryeh,בית אריה,"5,253",1981,Shomron
Beit El,בית אל,"5,973",1977,Mateh Binyamin
Beit HaArava,בית הערבה,350,1980,Megilot
Beit Horon,בית חורון,"1,437",1977,Mateh Binyamin
Beit Yatir,בית יתיר,550,1983,Har Hebron
Beitar Illit,ביתר עילית,"59,270",1985,Gush Etzion
Beka'ot,בקעות,182,1972,Bik'at HaYarden
Brukhin,ברוכין,"1,166",2012,Shomron
Karmei Tzur,כרמי צור,"1,001",1984,Gush Etzion
Carmel,כרמל,437,1981,Har Hebron
Dolev,דולב,"1,448",1983,Mateh Binyamin
Efrat(a),אפרת,"10,806",1980,Gush Etzion
Elazar,אלעזר,"2,459",1975,Gush Etzion
Eli,עלי,"4,415",1984,Mateh Binyamin
Elkana,אלקנה,"3,838",1977,Shomron
Elon Moreh,אלון מורה,"1,920",1979,Shomron
Einav,ענב,891,1981,Shomron
Eshkolot,אשכולות,577,1982,Har Hebron
Etz Efraim,עץ אפרים,"2,428",1985,Shomron
Hashmonaim,גני מודיעין,"2,771",1996,Mateh Binyamin
Geva Binyamin,גבע בנימין,"5,682",1984,Mateh Binyamin
Gilgal,גלגל,203,1970,Bik'at HaYarden
Gitit,גיתית,504,1973,Bik'at HaYarden
Giv'at Ze'ev,גבעת זאב,"18,420",1983,Mateh Binyamin
Giv'on HaHadasha,גבעון החדשה,"1,067",1980,Mateh Binyamin
Beit Hagai,בית חגי,667,1984,Har Hebron
Halamish,חלמיש,,1977,Mateh Binyamin
Hamra,חמרה,173,1971,Bik'at HaYarden
Har Adar,הר אדר,"4,088",1986,Mateh Binyamin
Har Brakha,הר ברכה,"2,757",1983,Shomron
Har Gilo,הר גילה,"1,635",1972,Gush Etzion
Hashmonaim,חשמונאים,"2,771",1985,Mateh Binyamin
Hemdat,חמדת,296,1980,Bik'at HaYarden
Hermesh,חרמש,224,1982,Shomron
Hinanit,חיננית,"1,410",1981,Shomron
Immanuel,עמנואל,"3,906",1983,Shomron
Itamar,איתמר,"1,269",1984,Shomron
Kalya,"קלי""ה",438,1968,Megilot
Karnei Shomron,קרני שומרון,"8,135",1978,Shomron
Kedar,קדר,"1,599",1985,Gush Etzion
Kedumim,קדומים,"4,544",1977,Shomron
Kfar Adumim,כפר אדומים,"4,674",1979,Mateh Binyamin
Kfar Etzion,כפר עציון,"1,156",1967,Gush Etzion
Kfar Tapuach,כפר תפוח,"1,312",1978,Shomron
Kiryat Arba,קרית ארבע,"7,326",1972,Har Hebron
Kiryat Netafim,קרית נטפים,958,1983,Shomron
Kokhav HaShahar,כוכב השחר,"2,227",1977,Mateh Binyamin
Kokhav Ya'akov,כוכב יעקב,"8,541",1985,Mateh Binyamin
Lapid,לפיד,"2,394",1996,Hevel Modi'in
Ma'ale Adumim,מעלה אדומים,"38,155",1975,Gush Etzion
Ma'ale Amos,מעלה עמוס,663,1981,Gush Etzion
Ma'ale Efrayim,מעלה אפרים,"1,260",1970,Bik'at HaYarden
Ma'ale Levona,מעלה לבונה,906,1983,Mateh Binyamin
Ma'ale Mikhmas,מעלה מכמש,"1,529",1981,Mateh Binyamin
Ma'ale Shomron,מעלה שומרון,996,1980,Shomron
Ma'on,מעון,595,1981,Har Hebron
Maskiot,משכיות,310,1986,Bik'at HaYarden
Masua,משואה,184,1970,Bik'at HaYarden
Matityahu,מתתיהו,891,1981,Mateh Binyamin
Mehola,מחולה,609,1968,Bik'at HaYarden
Mekhora,מכורה,166,1973,Bik'at HaYarden
Kfar HaOranim,כפר האורנים,"2,657",1998,Mateh Binyamin
Mevo Dothan,מבוא דותן,448,1978,Shomron
Mevo Horon,מבוא חורון,"2,669",1970,Mateh Binyamin
Migdal Oz,מגדל עוז,575,1977,Gush Etzion
Migdalim,מגדלים,447,1983,Shomron
Mitzpe Shalem,מצפה שלם,207,1971,Megilot
Mitzpe Yeriho,מצפה יריחו,"2,560",1978,Mateh Binyamin
Modi'in Illit,מודיעין עילית,"76,374",1996,Mateh Binyamin
Na'ale,נעלה,"2,148",1988,Mateh Binyamin
Nahliel,נחליאל,725,1984,Mateh Binyamin
Negohot,נגוהות,352,1999,Har Hebron
Netiv HaGdud,נתיב הגדוד,212,1976,Bik'at HaYarden
Neve Daniel,נווה דניאל,"2,322",1982,Gush Etzion
Nili,נילי,"1,786",1981,Mateh Binyamin
Niran,נירן,,1977,Bik'at HaYarden
Nofim,נופים,864,1987,Shomron
Nokdim,נוקדים,"2,383",1982,Gush Etzion
Na'omi,"נעמ""ה",165,1982,Bik'at HaYarden
Ofra,עפרה,"3,043",1975,Mateh Binyamin
Oranit,אורנית,"8,955",1985,Shomron
Otniel,עתניאל,"1,044",1983,Har Hebron
Peduel,פדואל,"2,010",1984,Shomron
Ma'ale Hever,מעלה חבר,635,1982,Har Hebron
Petza'el,פצאל,304,1975,Bik'at HaYarden
Psagot,פסגות,"1,881",1981,Mateh Binyamin
Rehelim,רחלים,802,2013,Shomron
Reihan,ריחן,330,1977,Shomron
Revava,רבבה,"2,632",1991,Shomron
Rimonim,רימונים,700,1977,Mateh Binyamin
Ro'i,רועי,175,1976,Bik'at HaYarden
Rosh Tzurim,ראש צורים,933,1969,Gush Etzion
Rotem,רותם,228,1983,Bik'at HaYarden
Sal'it,סלעית,"1,331",1977,Shomron
Sansana,סנסנה,519,1997,Har Hebron
Sha'arei Tikva,שערי תקווה,"6,039",1983,Shomron
Shadmot Mehola,שדמות מחולה,666,1979,Bik'at HaYarden
Shaked,שקד,962,1981,Shomron
Livne,לִבְנֶה‬,,1989,Har Hebron
Shavei Shomron,שבי שומרון,977,1977,Shomron
Shilo,שילה,"4,356",1979,Mateh Binyamin
Shim'a,שמעה,741,1985,Har Hebron
Susiya,סוסיא,"1,339",1983,Har Hebron
Talmon,טלמון,"4,575",1989,Mateh Binyamin
Tekoa,תקוע,"4,076",1977,Gush Etzion
Telem,תלם,445,1982,Har Hebron
Teneh Omarim,טנא עומרים,872,1983,Har Hebron
Tomer,תומר,276,1978,Bik'at HaYarden
Vered Yeriho,ורד יריחו,341,1980,Megilot
Yafit,יפית,202,1980,Bik'at HaYarden
Yakir,יקיר,"2,288",1981,Shomron
Yitav,"ייט""ב",358,1970,Bik'at HaYarden
Yitzhar,יצהר,"1,726",1983,Shomron
Tzofim,צופים,"2,406",1989,Shomron
